MANUTENÇÕES CORRETIVAS REALIZADAS INTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
201800019;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;BIC;HCPE-0280;412.770;987772;AMB. CARDIOLOGIA;20/02/2018 11:00;20/02/2018 11:30;SUBSTITUIÇÃO;0,00
201800020;MONITOR MULTIPARAMÉTRICO;VITA 600;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-0413;407.106;V600000097;UTI NEONATAL;23/02/2018 15:35;23/02/2018 17:05;REPARO;0,00
201800021;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0523;410.799;20120066965;UTI GERAL / URCC;20/02/2018 14:30;20/02/2018 15:36;REPARO;0,00
201800022;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0524;410.406;20120066970;UTI GERAL / URCC;20/02/2018 15:00;20/02/2018 16:06;REPARO;0,00
201800025;FOCO CIRÚRGICO FIXO;QUANTA;BAUMER;HCPE-0543;410.338;YUZW005;BLOCO CIRÚRGICO;22/02/2018 07:00;22/02/2018 17:00;REPARO;0,00
201800026;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0333;757.001;20120069269;8° NORTE;26/02/2018 09:07;22/03/2018 12:30;REPARO;0,00
201800027;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0335;;20120067984;8° NORTE;26/02/2018 09:07;30/05/2018 16:57;EQUIPAMENTO NÃO LIBERADO/SERVIÇO NÃO REALIZADO;0,00
201800028;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0337;756.640;20120066501;8° NORTE;26/02/2018 09:07;27/03/2018 13:40;REPARO;0,00
201800030;EQUIPAMENTO DE ANGIOGRAFIA / HEMODINÂMICA;KXO-100G;TOSHIBA;HCPE-0383;;13A009/D1612628;ULTRASSOM (UDI);26/02/2018 09:07;26/02/2018 12:30;REPARO;0,00
201800031;BERÇO AQUECIDO;BA-51/SPA;FANEM;HCPE-0414;760.734;TX7459;CENTRAL DE EQUIPAMENTOS;26/02/2018 09:08;27/02/2018 11:00;REPARO;0,00
201800032;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0334;756.880;20120068030;8° NORTE;26/02/2018 13:04;22/03/2018 11:45;REPARO;0,00
201800033;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0365;756.740;20120069352;8° SUL (DIP / COVID);26/02/2018 13:05;08/03/2018 17:00;REPARO;0,00
201800034;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0410;756.668;20120068442;8° SUL (DIP / COVID);26/02/2018 13:05;08/03/2018 18:30;APLICAÇÃO DE PEÇA;0,00
201800035;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0343;757.006;20120039027;8° NORTE;26/02/2018 13:00;26/02/2018 15:59;REPARO;0,00
201800036;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0353;757.027;20120074077;8° NORTE;26/02/2018 07:00;26/02/2018 09:30;REPARO;0,00
201800037;MONITOR MULTIPARAMÉTRICO;DX-2010;DIXTAL;HCPE-0776;414.634;030W05067;HEMODINÂMICA;26/02/2018 16:24;27/02/2018 16:15;REPARO;0,00
201800038;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0686;406.090;141693;CENTRAL DE EQUIPAMENTOS;26/02/2018 16:24;27/02/2018 09:00;SUBSTITUIÇÃO;0,00
201800039;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0285;405.808;141698;CENTRAL DE EQUIPAMENTOS;26/02/2018 16:25;27/02/2018 09:36;SUBSTITUIÇÃO;0,00
201800040;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0194;759.003;141697;11° SUL;26/02/2018 16:25;20/03/2018 15:01;REPARO;15,84
201800041;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0275;406.085;141755;CENTRAL DE EQUIPAMENTOS;26/02/2018 16:25;27/02/2018 08:30;REPARO;0,00
201800042;BERÇO AQUECIDO;BA;OLIDEF CZ;HCPE-0805;407.102;BA021144;9° NORTE (MATERNIDADE);27/02/2018 07:40;27/02/2018 12:00;REPARO;0,00
201800044;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;MANUAL;SOLIDOR;HCPE-0928;;A91209;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:00;27/02/2018 11:00;REPARO;0,00
201800045;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;MANUAL;SOLIDOR;HCPE-0927;;926969;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:00;27/02/2018 12:00;REPARO;0,00
201800046;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;MANUAL;SPHYGMOMANOMETER;HCPE-0930;;010373151;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:00;27/02/2018 12:30;REPARO;0,00
201800047;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;MANUAL;SOLIDOR;HCPE-0929;;A94905;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:00;27/02/2018 11:30;REPARO;0,00
201800048;FOTÓFORO;RI-FOCUS-LED;RIESTER GERMANY;HCPE-1060;;;OTORRINO;28/02/2018 10:00;19/03/2018 11:20;ANÁLISE TÉCNICA;44,00
201800049;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;28/02/2018 09:35;28/02/2018 15:31;OBSOLESCÊNCIA;0,00
201800050;MONITOR MULTIPARAMÉTRICO;DX-2021 (ECG, NIBP, SPO2);DIXTAL;HCPE-1035;414.642;121505429;HEMODINÂMICA;28/02/2018 08:50;28/02/2018 12:30;REPARO;0,00
201800052;MICROSCÓPIO BINOCULAR;DM500;LEICA;HCPE-1042;413.997;8040031356UU0269/07/11;ANATOMIA PATOLÓGICA;28/02/2018 08:35;01/03/2018 14:00;REPARO;0,00
201800054;DIATERMIA POR ONDAS CURTAS;DIATHERAPIC SHORTWAVE;HTM INDUSTRIA DE EQUIPAMENTOS ELETRO-ELETRONICOS LTDA-BRASIL;HCPE-1392;415.526;006875;AMB. FISIOTERAPIA;27/02/2018 09:40;12/07/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201800056;ASPIRADOR CIRÚRGICO;089 AME;FANEM;HCPE-1487;;TAH-93486;9° SUL;01/03/2018 15:24;01/03/2018 16:54;SUBSTITUIÇÃO;0,00
201800059;MICROSCÓPIO CIRÚRGICO;OPMI VARIO 700;CARL ZEISS;HCPE-0001;407.984;6636161591;BLOCO CIRÚRGICO;01/03/2018 15:57;05/03/2018 12:00;REPARO;0,00
201800060;ASPIRADOR CIRÚRGICO;17200;K TAKAOKA;HCPE-1360;407.964;;BLOCO CIRÚRGICO;01/03/2018 16:04;02/03/2018 10:20;REPARO;0,00
201800061;UMIDIFICADOR;MISTY 3;INTERMED;HCPE-0963;;M3-2002-04-08226;UTI NEONATAL;27/02/2018 10:35;05/03/2018 11:20;EQUIPAMENTO NÃO LIBERADO/SERVIÇO NÃO REALIZADO;0,00
201800062;MICROSCÓPIO BINOCULAR;BX41TF;OLYMPUS;HCPE-0208;413.395;2K07722;ANATOMIA PATOLÓGICA;01/03/2018 16:49;02/03/2018 09:40;REPARO;0,00
201800063;FOTOTERAPIA CONVENCIONAL (FLUORESCENTE);006 OFL;FANEM;HCPE-0545;756.129;5Z8054;UTI NEONATAL;01/03/2018 17:53;02/03/2018 11:50;REPARO;0,00
201800064;ELETROCARDIÓGRAFO;EP-3;DIXTAL;HCPE-0759;407.642;100312925;CENTRAL DE EQUIPAMENTOS;27/02/2017 08:00;27/02/2018 12:00;ANÁLISE TÉCNICA;0,00
201800065;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-0926;;04526;CENTRAL DE EQUIPAMENTOS;27/02/2018 08:30;27/02/2018 09:20;REPARO;0,00
201800066;ELETRODO / PLACA PARA BISTURI;PLACA METALICA;GENÉRICO;HCPE-1594;;;GENÉRICO;20/02/2018 07:00;27/02/2018 07:00;REPARO;0,00
201800067;BISTURI ELÉTRICO;FORCE FX;COVIDIEN;HCPE-1546;760.767;S1C01210AX;ENGENHARIA CLÍNICA (STEC);02/03/2018 08:00;02/03/2018 12:02;ANÁLISE TÉCNICA;0,00
201800068;BALANÇA DE PLATAFORMA;LD1050;LÍDER;HCPE-1547;408.249;39840;ENGENHARIA CLÍNICA (STEC);02/03/2018 11:14;02/04/2018 08:01;ENTREGA DE EQUIPAMENTO;0,00
201800069;CENTRÍFUGA DE TUBOS;80-2B;HT CENTRIBIO;HCPE-1030;411.646;241;HEMOTERAPIA;02/03/2018 14:46;20/03/2018 14:03;SUBSTITUIÇÃO;72,00
201800070;FOCO CIRÚRGICO FIXO;QUANTA;BAUMER;HCPE-1576;410.895;YUZW008;BLOCO CIRÚRGICO;02/03/2018 14:47;05/03/2018 15:35;EQUIPAMENTO NÃO LIBERADO/SERVIÇO NÃO REALIZADO;0,00
201800071;VISOR DE AGLUTINAÇÃO;AG0802;PERMUTION;HCPE-1604;411.651;;HEMOTERAPIA;02/03/2018 14:30;02/03/2018 16:00;REPARO;0,00
201800072;FOTOTERAPIA CONVENCIONAL (FLUORESCENTE);006 OFL;FANEM;HCPE-1595;756.038;;9° NORTE (MATERNIDADE);02/03/2018 14:00;02/03/2018 15:50;REPARO;0,00
201800073;DIGITALIZADORA DE IMAGENS;CR 85-X;AGFA;HCPE-1470;414.865;5736;RAIO-X (UDI);02/03/2018 15:00;02/03/2018 16:30;REPARO;0,00
201800086;ESTEIRA ERGOMÉTRICA;CENTURION 300;MICROMED;HCPE-1085;;1447214;MEDICINA NUCLEAR;05/03/2018 10:02;07/03/2018 16:10;EQUIPAMENTO NÃO LIBERADO/SERVIÇO NÃO REALIZADO;0,00
201800099;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0277;406.094;141735;CENTRAL DE EQUIPAMENTOS;19/02/2018 08:30;08/03/2018 08:53;REPARO;0,00
201800100;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0286;406.089;141695;CENTRAL DE EQUIPAMENTOS;19/02/2018 09:00;21/03/2018 13:15;SUBSTITUIÇÃO;15,84
201800101;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0287;406.066;141754;CENTRAL DE EQUIPAMENTOS;19/02/2018 09:00;20/03/2018 14:10;REPARO;15,84
201800102;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0283;406.029;141748;CENTRAL DE EQUIPAMENTOS;20/02/2018 09:00;21/03/2018 12:10;REPARO;15,84
201800103;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;BIC;HCPE-0278;757.899;987747;CENTRAL DE EQUIPAMENTOS;19/02/2018 09:00;06/04/2018 15:00;REPARO;60,84
201800104;SELADOR PARA TUBOS;COMPOSEAL MOBILEA II;FRESENIUS KABI;HCPE-1289;758.036;9NUA2020;ENGENHARIA CLÍNICA (STEC);05/03/2018 15:44;05/03/2018 17:44;REPARO;0,00
201800105;ESTIMULADOR NEURO-MUSCULAR;NEURODYN II;IBRAMED;HCPE-1333;415.099;0077870090;ENGENHARIA CLÍNICA (STEC);05/03/2018 09:00;05/03/2018 10:30;REPARO;0,00
201800106;ELETROCARDIÓGRAFO;EP12;DIXTAL;HCPE-0756;757.853;1229010644;CENTRAL DE EQUIPAMENTOS;20/02/2018 08:00;25/06/2018 10:00;INSTALAÇÃO/MONTAGEM - REALIZAÇÃO;525,20
201800107;ELETROCARDIÓGRAFO;ECG 12S;ECAFIX;HCPE-0761;;221757;CENTRAL DE EQUIPAMENTOS;19/02/2018 13:00;11/04/2018 14:30;SUBSTITUIÇÃO;57,00
201800108;ELETROCARDIÓGRAFO;ECG 12S;ECAFIX;HCPE-0760;;220898;CENTRAL DE EQUIPAMENTOS;19/02/2018 08:00;11/04/2018 14:00;SUBSTITUIÇÃO;57,00
201800110;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0164;758.268;20120067971;10° SUL;05/03/2018 13:00;07/03/2018 10:00;REPARO;0,00
201800111;FONTE DE LUZ HALOGENA;HALOGENLAMP;DOC MED;HCPE-1620;;;OTORRINO;07/03/2018 07:45;07/03/2018 09:20;ANÁLISE TÉCNICA;0,00
201800113;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;AMB. CLÍNICA MÉDICA;07/03/2018 07:51;07/03/2018 09:45;REPARO;0,00
201800114;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;GENÉRICO;07/03/2018 07:51;07/03/2018 10:33;REPARO;0,00
201800115;INCUBADORA NEONATAL;VISION 2286;FANEM;HCPE-0650;409.259;CK2838;UTI NEONATAL;07/03/2018 08:00;07/03/2018 19:00;REPARO;0,00
201800117;BALANÇA ADULTO;PERSONAL;FILIZOLA;HCPE-1515;413.662;;AMB. PEDIATRIA;07/03/2018 09:23;13/04/2018 15:19;SUBSTITUIÇÃO;52,00
201800118;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0297;758.680;20120054817;11° NORTE;07/03/2018 14:05;07/03/2018 15:55;REPARO;0,00
201800120;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1628;;3178380;CENTRAL DE EQUIPAMENTOS;07/03/2018 10:00;08/03/2018 10:51;OBSOLESCÊNCIA;0,00
201800121;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;07/03/2018 13:00;12/03/2018 08:00;ANÁLISE TÉCNICA;0,00
201800122;PINÇA BIPOLAR PARA BISTURI;;;HCPE-1622;;;GENÉRICO;07/03/2018 16:00;08/03/2018 10:53;OBSOLESCÊNCIA;0,00
201800126;SENSOR DE OXIMETRIA PEDIÁTRICO;SOFT - 06 PINOS - DX2010/2020/2022/2023;DIXTAL;HCPE-1629;;;UTI NEONATAL;08/03/2018 10:37;12/03/2018 08:00;OBSOLESCÊNCIA;0,00
201800129;CENTRÍFUGA DE TUBOS;CE01-B1;KACIL;HCPE-1631;;0876-00;HEMOTERAPIA;07/03/2018 16:00;08/03/2018 10:17;REPARO;0,00
201800131;MICROSCÓPIO BINOCULAR;BX41TF;OLYMPUS;HCPE-0217;413.339;1J16058;ANATOMIA PATOLÓGICA;08/03/2018 14:26;08/03/2018 17:00;REPARO;0,00
201800132;CABO DE PINÇA BIPOLAR PARA BISTURI;;;HCPE-1623;;;GENÉRICO;08/03/2018 14:30;08/03/2018 17:01;REPARO;0,00
201800133;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0755;757.283;20120034515;PSIQUIATRIA(7°N);08/03/2018 14:31;03/05/2018 10:11;REPARO;0,00
201800134;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0784;757.284;20120054839;PSIQUIATRIA(7°N);08/03/2018 14:32;08/03/2018 17:30;REPARO;0,00
201800137;;;;;;;AMB. GASTROENTEROLOGIA;09/03/2018 07:42;09/03/2018 09:00;ANÁLISE TÉCNICA;0,00
201800138;CAMA HOSPITALAR ELÉTRICA;ELEGANZA;LINET;HCPE-1659;407.820;20120073321;BLOCO CIRÚRGICO;08/03/2018 07:00;08/03/2018 12:00;REPARO;0,00
201800152;INCUBADORA NEONATAL;VISION 2186;FANEM;HCPE-1310;759.568;CI1980;ENGENHARIA CLÍNICA (STEC);05/03/2018 09:00;05/03/2018 19:00;APLICAÇÃO DE PEÇA;0,00
201800153;FOTOTERAPIA CONVENCIONAL (FLUORESCENTE);;OLIDEF CZ;HCPE-0799;;MF99R40;9° NORTE (MATERNIDADE);09/03/2018 10:11;24/04/2018 14:00;OBSOLESCÊNCIA;0,00
201800161;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0285;405.808;141698;CENTRAL DE EQUIPAMENTOS;09/03/2018 10:28;09/03/2018 12:00;REPARO;0,00
201800162;BISTURI ELÉTRICO;BP-100;TRANSMAI-EMAI;HCPE-0154;405.744;031Q6989;AMB. DERMATOLOGIA;09/03/2018 11:21;12/03/2018 08:20;REPARO;0,00
201800163;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;09/03/2018 11:28;12/03/2018 08:00;OBSOLESCÊNCIA;0,00
201800164;UNITARIZADORA DE MEDICAMENTOS;OPUS 30X;OPUSPAC SYSTEM;HCPE-0924;409.826;MUE0017379;FARMÁCIA;09/03/2018 11:28;13/03/2018 14:12;ANÁLISE TÉCNICA;0,00
201800165;SERRA DE GESSO;;NEVONI;HCPE-1054;762.542;;AMB. ORTOPEDIA;09/03/2018 14:01;12/03/2018 10:30;REPARO;0,00
201800166;;;;;;;CIRURGIA AMBULATORIAL;09/03/2018 14:50;09/03/2018 16:00;ANÁLISE TÉCNICA;0,00
201800170;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1682;;07104;CENTRAL DE EQUIPAMENTOS;09/03/2018 15:16;09/03/2018 16:00;REPARO;0,00
201800171;BISTURI ELÉTRICO;BP-100 PLUS;TRANSMAI-EMAI;HCPE-1683;759.752;10EQ3449;AMB. DERMATOLOGIA;09/03/2018 15:16;12/03/2018 12:00;REPARO;0,00
201800175;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0363;756.647;20120069267;8° SUL (DIP / COVID);09/03/2018 07:00;07/01/2020 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;0,00
201800176;ELETRODO / PLACA PARA BISTURI;PLACA METALICA;GENÉRICO;HCPE-1594;;;AMB. DERMATOLOGIA;12/03/2018 10:01;12/03/2018 10:41;REPARO;0,00
201800179;SENSOR DE OXIMETRIA PEDIÁTRICO;GENÉRICO;ALFAMED SISTEMAS MÉDICOS LTDA;HCPE-1084;;;UTI NEONATAL;12/03/2018 10:02;14/03/2018 15:34;ANÁLISE TÉCNICA;0,00
201800181;VENTILADOR PULMONAR BIPAP;STELLAR 150;RESMED;HCPE-0967;758.116;20141343274;CENTRAL DE EQUIPAMENTOS;12/03/2018 10:03;13/03/2018 09:30;ANÁLISE TÉCNICA;0,00
201800182;VITREÓFAGO;MMD 2000;MICRO MEDICINA;HCPE-1702;756.230;VT 06223;CIRURGIA AMBULATORIAL;12/03/2018 10:18;06/04/2018 08:30;SUBSTITUIÇÃO, TESTE;25,00
201800184;PEDAL DE BISTURI;GENÉRICO;-;HCPE-1688;;;AMB. DERMATOLOGIA;12/03/2018 09:02;12/03/2018 17:00;REPARO;0,00
201800185;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1680;;04478;CENTRAL DE EQUIPAMENTOS;12/03/2018 08:00;13/03/2018 08:14;REPARO;0,00
201800186;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1676;;06926;CENTRAL DE EQUIPAMENTOS;12/03/2018 07:00;12/03/2018 11:01;OBSOLESCÊNCIA;0,00
201800187;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1681;;3355126;CENTRAL DE EQUIPAMENTOS;12/03/2018 08:00;12/03/2018 10:00;REPARO;0,00
201800188;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1674;;06800;CENTRAL DE EQUIPAMENTOS;12/03/2018 08:00;12/03/2018 10:01;REPARO;0,00
201800189;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;EA100;INCOTERM;HCPE-1673;;06832;CENTRAL DE EQUIPAMENTOS;12/03/2018 08:00;12/03/2018 09:50;REPARO;0,00
201800191;FOTOTERAPIA A LED;3006-BTP;FANEM;HCPE-0546;756.040;YAD27320;UTI NEONATAL;12/03/2018 17:27;14/03/2018 19:00;REPARO;0,00
201800192;BERÇO AQUECIDO;BA 51 TS;FANEM;HCPE-1256;407.499;TX7458;CENTRO OBSTÉTRICO;12/03/2018 18:49;21/03/2018 11:20;REPARO;170,00
201800196;BALANÇA ADULTO;W-200;WELMY;HCPE-1067;412.166;06250;NEFROLOGIA;13/03/2018 10:43;13/03/2018 13:15;REPARO;0,00
201800197;BALANÇA DE PLATAFORMA;LD1050;LÍDER;HCPE-1427;;42213;AMB. PNEUMOLOGIA 4°;13/03/2018 11:01;13/03/2018 17:00;REPARO;0,00
201800199;ESFIGMOMANÔMETRO ANERÓIDE MANUAL;;PREMIUM;HCPE-1675;;3735767;CENTRAL DE EQUIPAMENTOS;12/03/2018 10:00;13/03/2018 14:00;REPARO;0,00
201800200;CAMA HOSPITALAR ELÉTRICA;VLT;VALLITECH;HCPE-1694;414.384;;SALA DE ESTABILIZAÇÃO;13/03/2018 13:52;13/03/2018 15:50;REPARO;0,00
201800206;CAMA HOSPITALAR ELÉTRICA;VLT;VALLITECH;HCPE-1700;414.385;;HOSPITAL DIA;14/03/2018 08:53;14/03/2018 14:30;REPARO;0,00
201800207;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0292;757.960;20120070536;11° NORTE;14/03/2018 09:41;14/03/2018 16:00;REPARO;0,00
201800208;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0288;758.673;20120070460;11° NORTE;14/03/2018 09:42;14/03/2018 12:00;REPARO;0,00
201800209;CAMA HOSPITALAR ELÉTRICA;ELEGANZA SMART;LINET;HCPE-0289;757.983;20120069244;11° NORTE;14/03/2018 09:43;14/03/2018 10:50;REPARO;0,00
201800212;RAIO X MÓVEL;CR 7;INTECAL;HCPE-0462;;130A09;UTI GERAL / URCC;14/03/2018 16:37;15/03/2018 12:00;REPARO;0,00
