NEC;U.S.;Sigla Órgão;Nome Órgão;Localização;Identificador;N.º Série;Tipo Equipamento;Classe;Marca;Modelo;Fornecedor;Valor (R$);Aquisição;Núm. Doc. da Aquisição;Nota Fiscal;Garantia;Data Desativação;Desativado;Parecer Desativação;Permitir O.S.;Baixado;Contrato;Equipamento Crítico;Equipamento Próprio;Descrição Complementar;N.º Quebras;N.º Serviço Externo;N.º Peças Utilizadas;Custo Serviço Externo (R$);Custo Peça (R$);Vida Útil;Indisponibilidade (dias);Última MP
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LABORATÓRIO DE HEMATOLOGIA;HCPE-1010,415.322;6146-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-02;KACIL INDUSTRIA E COMERCIO LTDA;800.0;2000-04-01 00:00:00;;1;2001-04-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LABORATÓRIO DE HEMATOLOGIA;HCPE-1014,415.320;8601-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-02;KACIL INDUSTRIA E COMERCIO LTDA;800.0;2000-04-01 00:00:00;;1;2001-04-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LABORATÓRIO DE HEMATOLOGIA;HCPE-1015,415.321;8612-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-02;KACIL INDUSTRIA E COMERCIO LTDA;800.0;2000-04-01 00:00:00;;1;2001-04-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-1011,415.323;6145-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-02;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-1012,415.318;6154-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-02;GENERICO;0.0;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-1013,415.319;8611-00;ANA LAB HEM CTG CELULA MANUAL;EQUIPAMENTO;KACIL;CCS-01;GENERICO;0.0;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. HEMATOLOGIA;HCPE-0981;759;ANA LAB IMUNOENSAIO FOTOMETRICO ENZIMATICO;EQUIPAMENTO;ALIFAX;ROLLER-20-PN;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LAB. SOROLOGIA;HCPE-1002;I15R03879;ANA LAB IMUNOENSAIO QUIMIOLUMINESCENCIA;EQUIPAMENTO;ABBOTT;ARCHITECT I 1000-SR;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LAB. SOROLOGIA;HCPE-1003;F1524;ANA LAB IMUNOENSAIO QUIMIOLUMINESCENCIA;EQUIPAMENTO;SIEMENS;IMMULITE-2000-XPI;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LAB. SOROLOGIA;HCPE-1005;E08A1872;ANA LAB IMUNOENSAIO QUIMIOLUMINESCENCIA;EQUIPAMENTO;ABBOTT;ARCHITECT I 2000-SR;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UACAP;UNIDADE DE ANÁLISES CLÍNICAS E ANATOMIA PATOLÓGICA;LABORATÓRIO DE BACTERIOLOGIA;HCPE-1000;807CR3096;ANA LAB MICROBIOLOGICO;EQUIPAMENTO;BIOMERIEUX;BACT/ALERT-3-D;GENERICO;0.0;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UOH;UNIDADE DE ONCOLOGIA E HEMATOLOGIA;LAB. URIANÁLISE;HCPE-0986;2330-005;ANALISADOR BIOQUÍMICO URINA;EQUIPAMENTO;ROCHE;URISYS;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;SENC;SETOR DE ENGENHARIA CLÍNICA;ENGENHARIA CLÍNICA;GESTEC-243;20230614003;ANA VENTILADOR;INSTRUMENTO DE CALIBRAÇÃO;NEOS;AVM-100;GENERICO;35000.0;2024-05-01 00:00:00;;NAO DISPONIVEL;2024-05-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1905,760.291;008817;APLICADOR CRIOCAUTERIO;EQUIPAMENTO;ALIMED TEC;CRYOFAST CT-908;GENERICO;0.0;2018-06-11 00:00:00;;0;2019-06-11 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OFTALMOLOGIA;HCPE-2112,758.838;14568;AQUECEDOR;EQUIPAMENTO;RM TECNOBRASIL;B-09;MINISTÉRIO DA EDUCAÇÃO;300.0;2018-10-15 00:00:00;;NÃO DISPONÍVEL;2019-10-15 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;MEDICINA NUCLEAR;770.161,HCPE-3052;0008120215;AQUECEDOR CONTRASTE;EQUIPAMENTO;ECKERT & ZIEGLER;EZ-100;ECKERT & ZIEGLER ISOTOPE PRODUCTS;10000.0;2023-01-01 00:00:00;;1;2023-01-31 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-SAFE-P08G00000040;P08G00000040;AQUECEDOR PACIENTE AR FORCADO;EQUIPAMENTO;LIFOTRONIC;TC-200;MINISTÉRIO DA EDUCAÇÃO;3643.93;2025-10-29 00:00:00;;59630;2035-10-29 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-SAFE-P08G00000058;P08G00000058;AQUECEDOR PACIENTE AR FORCADO;EQUIPAMENTO;LIFOTRONIC;TC-200;MINISTÉRIO DA EDUCAÇÃO;3643.93;2025-10-29 00:00:00;;59630;2035-10-29 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-SAFE-P08G00000115;P08G00000115;AQUECEDOR PACIENTE AR FORCADO;EQUIPAMENTO;LIFOTRONIC;TC-200;MINISTÉRIO DA EDUCAÇÃO;3643.93;2025-10-29 00:00:00;;59630;2035-10-29 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-SAFE-P08G00000491;P08G00000491;AQUECEDOR PACIENTE AR FORCADO;EQUIPAMENTO;LIFOTRONIC;TC-200;MINISTÉRIO DA EDUCAÇÃO;3643.93;2025-10-29 00:00:00;;59630;2035-10-29 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;COM-SAFE-P08G00000501;P08G00000501;AQUECEDOR PACIENTE AR FORCADO;EQUIPAMENTO;LIFOTRONIC;TC-200;MINISTÉRIO DA EDUCAÇÃO;3643.93;2025-10-29 00:00:00;;59630;2035-10-29 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;UNIDADE DE BLOCOS CIRÚRGICOS;HCPE-1367,407.946;OEC82XXXX04219;ARCO CIRURGICO MOVEL;EQUIPAMENTO;GE HEALTHCARE;OEC-9800-PLUS;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;620000.0;2017-01-30 00:00:00;15/17;11449;2018-01-30 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;"ESTAÇÃO DE TRABALHO 
MONITOR DE LCD
IMPRESSORA
UNIDADE DE GRAVAÇÃO
MONITOR DE UNIDADE DE GRAVAÇÃO";;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;UNIDADE DE BLOCOS CIRÚRGICOS;HCPE-1381,407.953;79-C5176D;ARCO CIRURGICO MOVEL;EQUIPAMENTO;GE HEALTHCARE;OEC FLUOROSTAR-7900;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;365000.0;2012-01-01 00:00:00;;1;2013-01-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;DIAGNÓSTICO POR IMAGEM;HCPE-3587;27013;ARCO CIRURGICO MOVEL;EQUIPAMENTO;SIEMENS;SIREMOBIL COMPACT L;SIEMENS HEALTHCARE DIAGNÓSTICOS LTDA;500000.0;2011-01-01 00:00:00;XX;XX;2012-01-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;ENDOSCOPIA;HCPE-3740;3001100;ARMARIO ARMAZENAMENTO ENDOSCOPIO;EQUIPAMENTO;ATEMOH;ENDO GUARD STERILIZED;CRM MEDICAL;28900.0;2025-04-23 00:00:00;;8549;2026-04-30 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;ENDOSCOPIA;HCPE-3741;3001102;ARMARIO ARMAZENAMENTO ENDOSCOPIO;EQUIPAMENTO;ATEMOH;ENDO GUARD STERILIZED;CRM MEDICAL;28900.0;2025-04-23 00:00:00;;8549;2026-04-30 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIDI;UNIDADE DE DIAGNÓSTICO POR IMAGEM;ENDOSCOPIA;HCPE-3742;3001101;ARMARIO ARMAZENAMENTO ENDOSCOPIO;EQUIPAMENTO;ATEMOH;ENDO GUARD STERILIZED;CRM MEDICAL;28900.0;2025-04-23 00:00:00;;8549;2026-04-30 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;SENC;SETOR DE ENGENHARIA CLÍNICA;CENTRAL DE EQUIPAMENTOS;HCPE-0554,409.226;GAJ18997;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UASCA;UNIDADE DE ATENÇÃO À SAÚDE DA CRIANÇA E DO ADOLESCENTE;AMBULATÓRIO DE PEDIATRIA;HCPE-2174,408.215;RAN055283;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-11-27 00:00:00;;0;2019-11-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UASM;UNIDADE DE ATENÇÃO À SAÚDE DA MULHER;MATERNIDADE;HCPE-0803,757.395;TAH93487;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-02-26 00:00:00;;0;2019-02-26 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCM;UNIDADE DE CLÍNICA MÉDICA;11º NORTE;HCPE-1487;TAH-93486;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-03-01 00:00:00;;0;2018-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCM;UNIDADE DE CLÍNICA MÉDICA;11º SUL;HCPE-0195,758.759;93482;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-02-22 00:00:00;;0;2019-02-22 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCM;UNIDADE DE CLÍNICA MÉDICA;8º NORTE;HCPE-0875,410.187;MAH95185;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-02-27 00:00:00;;0;2019-02-27 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;AMBULATÓRIO DE OTORRINOLARINGOLOGIA;HCPE-1997,759.928;18-A-0134;ASPIRADOR CIRURGICO;EQUIPAMENTO;OLIDEF;A-45-PLUS;PPS PRODUTOS PARA SAUDE EIRELI;3.72;2018-02-23 00:00:00;22/18;4140;2019-02-23 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;AMBULATÓRIO DE OTORRINOLARINGOLOGIA;HCPE-1998,759.932;18-A-0137;ASPIRADOR CIRURGICO;EQUIPAMENTO;OLIDEF;A-45-PLUS;PPS PRODUTOS PARA SAUDE EIRELI;3.723;2018-02-23 00:00:00;22/18;4140;2019-02-23 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;AMBULATÓRIO DE OTORRINOLARINGOLOGIA;HCPE-1999,759.929;18-A-0135;ASPIRADOR CIRURGICO;EQUIPAMENTO;OLIDEF;A-45-PLUS;PPS PRODUTOS PARA SAUDE EIRELI;3.723;2018-02-23 00:00:00;22/18;4140;2019-02-23 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;AMBULATÓRIO DE OTORRINOLARINGOLOGIA;HCPE-2000,759.930;18-A-0136;ASPIRADOR CIRURGICO;EQUIPAMENTO;OLIDEF;A-45-PLUS;PPS PRODUTOS PARA SAUDE EIRELI;3.723;2018-02-23 00:00:00;22/18;4140;2019-02-23 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;AMBULATÓRIO DE OTORRINOLARINGOLOGIA;HCPE-2001,759.931;18-A-0133;ASPIRADOR CIRURGICO;EQUIPAMENTO;OLIDEF;A-45-PLUS;PPS PRODUTOS PARA SAUDE EIRELI;3.723;2018-02-23 00:00:00;22/18;4140;2019-02-23 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OTORRINOLARINGOLOGIA;759.922,HCPE-1707;;ASPIRADOR CIRURGICO;EQUIPAMENTO;INALAMED;GIM-5003;MINISTÉRIO DA EDUCAÇÃO;5000.0;2020-03-01 00:00:00;;NÃO DISPONÍVEL;2021-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OTORRINOLARINGOLOGIA;HCPE-1173;452;ASPIRADOR CIRURGICO;EQUIPAMENTO;NEVONI;1001-VF PE;MINISTÉRIO DA EDUCAÇÃO;5000.0;2020-03-01 00:00:00;;NÃO DISPONÍVEL;2021-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OTORRINOLARINGOLOGIA;HCPE-1705,759.925;;ASPIRADOR CIRURGICO;EQUIPAMENTO;INALAMED;GIM-5003;MINISTÉRIO DA EDUCAÇÃO;5000.0;2020-03-01 00:00:00;;NÃO DISPONÍVEL;2021-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OTORRINOLARINGOLOGIA;HCPE-1708,759.924;;ASPIRADOR CIRURGICO;EQUIPAMENTO;INALAMED;GIM-5003;MINISTÉRIO DA EDUCAÇÃO;5000.0;2020-03-01 00:00:00;;NÃO DISPONÍVEL;2021-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UCP;UNIDADE DA CABEÇA E PESCOÇO;OTORRINOLARINGOLOGIA;HCPE-1709,759.926;;ASPIRADOR CIRURGICO;EQUIPAMENTO;INALAMED;GIM-5003;MINISTÉRIO DA EDUCAÇÃO;5000.0;2020-03-01 00:00:00;;NÃO DISPONÍVEL;2021-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;408.212;RAN055286;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-R-2-D-2;FANEM LTDA;5000.0;2018-02-21 00:00:00;;1;2019-02-21 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0061,413.750;RAN055284;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;MINISTÉRIO DA EDUCAÇÃO;7000.0;2018-02-01 00:00:00;;NAO DISPONIVEL;2018-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0070,413.673;RAN055289;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;MINISTÉRIO DA EDUCAÇÃO;7000.0;2018-02-01 00:00:00;;NÃO DISPONÍVEL;2018-02-02 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-0113,413.784;RAN055292;ASPIRADOR CIRURGICO;EQUIPAMENTO;FANEM;089-AME;GENERICO;0.0;2018-02-22 00:00:00;;0;2019-02-22 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1334,407.963;;ASPIRADOR CIRURGICO;EQUIPAMENTO;K TAKAOKA;17200;GENERICO;0.0;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1362,410.356;11670;ASPIRADOR CIRURGICO;EQUIPAMENTO;GIGANTE;G-76;GENERICO;0.0;2018-02-28 00:00:00;;0;2019-02-28 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
HC-UFPE;HC;UNIBC;UNIDADE DE BLOCOS CIRÚRGICOS;BLOCO CIRÚRGICO;HCPE-1492,407.956;1421;ASPIRADOR CIRURGICO;EQUIPAMENTO;K TAKAOKA;17200;GENERICO;0.0;2018-03-01 00:00:00;;0;2019-03-01 00:00:00;;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;;;;;;;;;
