MANUTENÇÕES CORRETIVAS REALIZADAS EXTERNAMENTE DURANTE O CONTRATO SL ENGENHARIA HOSPITALAR E HOSPITAL DAS CLÍNICAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
201800078;EQUIPAMENTO DE ANGIOGRAFIA / HEMODINÂMICA;KXO-100G;TOSHIBA;HCPE-0383;;13A009/D1612628;DIAGIMAGEM;05/03/2018 09:15;06/11/2018 12:15;EMISSÃO DE PARECER DE INATIVAÇÃO;CANON MEDICAL SYSTEMS DO BRASIL LTDA, CANON MEDICAL SYSTEMS DO BRASIL LTDA;4.200,00
201800079;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0931;;44005M/00;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800080;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0378;;64204M/00;8° NORTE;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800081;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0375;;64244M/00;8° NORTE;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800082;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0377;;64254M/00;8° NORTE;27/02/2018 10:40;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800084;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0932;;64187M/00;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:51;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800085;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0933;;64146M/00;CENTRAL DE EQUIPAMENTOS;27/02/2018 10:52;15/03/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800097;UMIDIFICADOR;MISTY 3;INTERMED;HCPE-0593;;M3-2003-09-10388;UTI NEONATAL;05/03/2018 15:01;21/03/2018 15:20;ANÁLISE TÉCNICA;KESA LTDA.;0,00
201800098;BLENDER;AIR-O2;INTERMED;HCPE-1609;;I0-2003-10-10210;CENTRAL DE EQUIPAMENTOS;05/03/2018 15:01;21/03/2018 15:00;ANÁLISE TÉCNICA;KESA LTDA.;0,00
201800109;ELETROCARDIÓGRAFO;EP-3;DIXTAL;HCPE-0758;758.078;070307784;CENTRAL DE EQUIPAMENTOS;19/02/2018 11:00;07/11/2018 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800112;VENTILADOR PULMONAR;INTER 3;INTERMED;HCPE-0626;409.252;9805-01536;UTI NEONATAL;07/03/2018 07:50;21/03/2018 15:10;ANÁLISE TÉCNICA;KESA LTDA.;0,00
201800124;RAIO X FIXO;COMPACTO PLUS 600;PHILIPS;HCPE-1506;760.706;PAB30001001;RAIO-X (UDI);07/03/2018 11:00;07/03/2018 11:45;APLICAÇÃO DE PEÇA;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800125;MAMÓGRAFO;GRAPH-MAMMO AF;VMI;HCPE-1507;760.707;P8504103001;RAIO-X (UDI);07/03/2018 09:30;07/03/2018 10:30;APLICAÇÃO DE PEÇA;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800127;UMIDIFICADOR;MISTY 3;INTERMED;HCPE-0961;;M3-2004-05-11587;CENTRAL DE EQUIPAMENTOS;08/03/2018 10:38;25/04/2018 14:56;CALIBRAÇÃO REALIZADA;KESA LTDA.;0,00
201800128;CENTRÍFUGA DE TUBOS;CN-2160;HT CENTRIBIO;HCPE-1630;411.643;050021;HEMOTERAPIA;08/03/2018 10:39;24/05/2018 13:30;SUBSTITUIÇÃO;TEC VET EQUIPAMENTOS;0,00
201800154;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1430;;64261M/00;TRIAGEM OB. 1°A;09/03/2018 10:20;29/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800155;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0372;;64160M/00;8° NORTE;09/03/2018 10:20;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800156;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1245;;64050M/00;CENTRO OBSTÉTRICO;09/03/2018 10:20;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800157;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0183;;64206M/00;11° SUL;09/03/2018 10:23;29/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800158;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0186;;64149M/00;11° SUL;09/03/2018 10:25;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800159;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0192;;64181M/00;11° SUL;09/03/2018 10:26;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800160;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0184;;64349M/00;11° SUL;09/03/2018 10:27;12/06/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800167;VIDEOBRONCOSCÓPIO;BF-1T150;OLYMPUS;HCPE-1686;;2340965;ENDOSCOPIA;01/03/2018 08:00;23/03/2018 08:03;REPARO;ASSISTEC;2.600,00
201800168;VIDEOGASTROSCÓPIO;GIF-Q150;OLYMPUS;HCPE-1684;;2519860;ENDOSCOPIA;01/03/2018 08:00;23/03/2018 08:16;REPARO;ASSISTEC;2.600,00
201800169;VIDEOGASTROSCÓPIO;GIF-Q150;OLYMPUS;HCPE-1685;;2900951;ENDOSCOPIA;01/03/2018 08:00;23/03/2018 08:30;REPARO;ASSISTEC;2.600,00
201800172;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1677;;64362M/00;CENTRAL DE EQUIPAMENTOS;09/03/2018 15:16;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800173;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1678;;64166M/00;CENTRAL DE EQUIPAMENTOS;09/03/2018 15:17;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800174;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0728;407.608;4SXAU386;HEMODIÁLISE;09/03/2018 15:17;16/03/2018 15:00;SUBSTITUIÇÃO;FRESENIUS MEDICAL CARE LTDA;0,00
201800177;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1679;;45318M/00;CENTRAL DE EQUIPAMENTOS;12/03/2018 10:01;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800180;IMITANCIÔMETRO;AZ-7;ACÚSTICA ORLANDI;HCPE-1687;406.274;095 020;OTORRINO;12/03/2018 10:02;12/09/2018 12:00;SUBSTITUIÇÃO DE PEÇA;ACÚSTICA ORLANDI, OTO TÉCNICA APARELHOS AUDITIVOS;1.100,00
201800183;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0148;405.802;141699;10° NORTE;12/03/2018 11:04;26/07/2018 14:31;INSTALAÇÃO/MONTAGEM - REALIZAÇÃO;DPROSMED DISTRIBUIDORA PRODUTOS MED HOSP LTDA;18,90
201800190;AUTOCLAVE HORIZONTAL;6410/H/2P/E/TS/SO;CISA;HCPE-0905;409.647;16604;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);10/03/2018 09:00;10/03/2018 12:00;SUBSTITUIÇÃO;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800195;MICROSCÓPIO CIRÚRGICO;DECIUS;DFV;HCPE-0077;759.896;4388;CIRURGIA AMBULATORIAL;13/03/2018 07:00;27/03/2018 11:06;CONFIGURAÇÃO;DFV COMERCIAL E INDUSTRIAL LTDA;0,00
201800205;ULTRASSOM;ACUSON X150;SIEMENS;HCPE-1555;760.730;305745;AMB. GASTROENTEROLOGIA;14/03/2018 07:01;28/08/2018 12:00;ANÁLISE - REALIZAÇÃO;BETECH, SIEMENS LTDA;3.190,01
201800210;MONITOR MULTIPARAMÉTRICO;MU-671RK;NIHON KOHDEN;HCPE-1704;;07470;ENGENHARIA CLÍNICA (STEC);14/03/2018 16:36;10/08/2018 13:30;SUBSTITUIÇÃO DE PEÇA;RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA;1.406,42
201800211;MICROSCÓPIO CIRÚRGICO;L 860;CEMAPO;HCPE-1712;759.557;;ENGENHARIA CLÍNICA (STEC);14/03/2018 16:37;01/05/2021 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;CEMAPO APARELHOS ÓPTICOS E MEC. DE PRECISÃO;0,00
201800234;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0179;;44969M/00;10° SUL;19/03/2018 08:55;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800235;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0373;;64209M/00;8° NORTE;19/03/2018 08:55;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800236;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0807;;64337M/00;9° NORTE (MATERNIDADE);19/03/2018 08:55;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800237;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0368;;45315M/00;8° NORTE;19/03/2018 08:56;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800238;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0427;;44014M/00;UTI GERAL / URCC;19/03/2018 08:56;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800239;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-1701;;45281M/00;CENTRAL DE EQUIPAMENTOS;19/03/2018 08:56;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800240;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0771;;45300M/00;PSIQUIATRIA(7°N);19/03/2018 09:06;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800241;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0752;;64220M/00;PSIQUIATRIA(7°N);19/03/2018 09:06;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800242;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0823;;64252M/00;9° NORTE (MATERNIDADE);19/03/2018 09:07;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800243;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0824;;64369M/00;9° NORTE (MATERNIDADE);19/03/2018 09:07;28/03/2018 10:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800253;TOMOGRAFIA POR EMISSÃO DE PÓSITRONS PET/CT;DISCOVERY PET/CT;GE;HCPE-1344;417.828;PET14201PT8;PET SCAN;19/03/2018 10:33;02/04/2018 17:30;INSTALAÇÃO;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201800256;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-1657;;4SXAU389;HEMODIÁLISE;19/03/2018 16:30;19/03/2018 17:45;ATUALIZAÇÃO DE SOFTWARE;FRESENIUS MEDICAL CARE LTDA;0,00
201800257;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0708;407.611;4SXAU371;HEMODIÁLISE;19/03/2018 17:03;20/03/2018 09:15;ATUALIZAÇÃO DE SOFTWARE;FRESENIUS MEDICAL CARE LTDA;0,00
201800258;MEDICINA NUCLEAR / GAMA CÂMERA;STARCAM 3200A;GE;HCPE-1531;411.200;1082101RE8;MEDICINA NUCLEAR;20/03/2018 08:41;25/09/2018 15:30;ATIVIDADES TECNICO-ADMINISTRATIVAS;LUIZ CARLOS JACINTO SERVIÇOS ME;0,00
201800261;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0715;407.610;4SXAU380;HEMODIÁLISE;20/03/2018 10:47;22/03/2018 11:30;ANÁLISE TÉCNICA;FRESENIUS MEDICAL CARE LTDA;0,00
201800262;APARELHO DE ANESTESIA;CARESTATION 620;GE;HCPE-1353;775.292;SM617070033WA;BLOCO CIRÚRGICO;20/03/2018 10:47;20/03/2018 11:00;CONFIGURAÇÃO;ASTECH;0,00
201800329;BERÇO AQUECIDO;BA-51/SPA;FANEM;HCPE-0414;760.734;TX7459;CENTRAL DE EQUIPAMENTOS;22/03/2018 12:08;05/07/2018 16:55;SUBSTITUIÇÃO DE PEÇA;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;1.460,00
201800332;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0415;;45308M/00;UTI GERAL / URCC;22/03/2018 17:08;05/04/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800333;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0370;;64075M/00;8° NORTE;22/03/2018 17:08;04/04/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800335;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0153;;45299M/00;10° NORTE;23/03/2018 11:05;05/04/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800336;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0445;;45200M/00;UTI GERAL / URCC;23/03/2018 11:05;05/04/2018 08:00;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800352;MESA CIRÚRGICA ELÉTRICA;ALPHASTAR 1132;MAQUET;HCPE-1720;413.708;01780;CIRURGIA AMBULATORIAL;26/03/2018 12:06;26/09/2018 09:30;AJUSTE/ REPARO - ESTRUTURA FÍSICA;RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA, TECHMED - EQUIPAMENTOS MEDICOS HOSPITALAR;4.556,00
201800354;CARDIOVERSOR;TEC-5631;NIHON KOHDEN;HCPE-1636;759.835;00518;PATRIMÔNIO;26/03/2018 12:07;26/04/2018 09:39;REPARO;RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA;0,00
201800359;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0729;407.613;4SXAU370;HEMODIÁLISE;23/03/2018 08:30;23/03/2018 09:00;ATUALIZAÇÃO DE SOFTWARE;FRESENIUS MEDICAL CARE LTDA;0,00
201800361;FOTOTERAPIA A LED;SKY 5006- PEDESTAL;FANEM;HCPE-1691;759.837;JAO061447;UTI NEONATAL;13/03/2018 09:00;05/04/2018 11:00;SUBSTITUIÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;0,00
201800363;INCUBADORA NEONATAL;VISION 2286;FANEM;HCPE-1731;758.102;CK2836;ENGENHARIA CLÍNICA (STEC);20/03/2018 09:00;07/01/2020 08:00;EMISSÃO DE PARECER DE INATIVAÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;0,00
201800369;PISTOLA PARA BIOPSIA;UNIT D22;UNIT COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;HCPE-1891;;;DIAGIMAGEM;27/03/2018 15:36;03/09/2018 15:00;EMISSÃO DE PARECER DE INATIVAÇÃO;ECOMED;0,00
201800492;APARELHO DE ANESTESIA;CARESTATION 620;GE;HCPE-1353;775.292;SM617070033WA;BLOCO CIRÚRGICO;02/04/2018 18:09;06/04/2018 17:00;ANÁLISE TÉCNICA;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
201800493;VENTILADOR PULMONAR BIPAP;S9 VPAP ST-IVAPS;RESMED;HCPE-1730;759.954;23121025607;ENGENHARIA CLÍNICA (STEC);23/03/2018 10:00;27/09/2018 18:00;SUBSTITUIÇÃO DE PEÇA;LUMIAR;2.123,60
201800499;AUTOCLAVE HORIZONTAL;6410/H/2P/E/TS/SO;CISA;HCPE-0905;409.647;16604;UNIDADE DE PROCESSAMENTO DE MATERIAL ESTERILIZADO (CME);03/04/2018 12:17;04/04/2018 12:00;SUBSTITUIÇÃO;SUPORTCARE TECNOLOGIA HOSPITALAR LTDA;0,00
201800506;TOMÓGRAFO COMPUTADORIZADO;AQUILION CXL-TSX-101 A/Q;TOSHIBA;HCPE-1473;414.972;QCB14Y2316;RAIO-X (UDI);07/03/2018 08:00;30/05/2018 17:00;EQUIPAMENTO NÃO LIBERADO/SERVIÇO NÃO REALIZADO;TOSHIBA MEDICAL DO BRASIL LTDA.;0,00
201800518;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0671;;64324M/00;URCC;04/04/2018 11:17;17/04/2018 12:47;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800519;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-2211;;64256M/00;CENTRO OBSTÉTRICO;04/04/2018 11:17;17/04/2018 12:45;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800520;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0750;;65040M/00;NEFROLOGIA;04/04/2018 11:18;17/04/2018 12:49;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800521;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0458;;64174M/00;UTI GERAL / URCC;04/04/2018 11:18;17/04/2018 12:40;CALIBRAÇÃO REALIZADA;ALLIANCE MEDINFUSION LTDA;0,00
201800611;VIDEOCOLONOSCÓPIO;CF-Q150L;OLYMPUS;HCPE-1747;;2900507;ENDOSCOPIA;05/04/2018 09:31;09/11/2018 11:00;SUBSTITUIÇÃO DE PEÇA;ASSISTEC;10.795,12
201800612;VIDEOGASTROSCÓPIO;GIF-Q150;OLYMPUS;HCPE-1746;;2519868;ENDOSCOPIA;05/04/2018 09:32;27/08/2018 12:10;SUBSTITUIÇÃO DE PEÇA;ASSISTEC;2.490,00
201800618;RAIO X FIXO;COMPACTO PLUS 600;PHILIPS;HCPE-1506;760.706;PAB30001001;RAIO-X (UDI);05/04/2018 12:56;20/04/2018 12:00;SUBSTITUIÇÃO;PHILIPS MEDICAL SYSTEMS, PHILIPS MEDICAL SYSTEMS;0,00
201800622;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0183;;64206M/00;11° SUL;05/04/2018 17:54;27/04/2018 16:19;ANÁLISE TÉCNICA;ALLIANCE MEDINFUSION LTDA;0,00
201800623;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0386;;44010M/00;8° SUL (DIP / COVID);05/04/2018 17:54;27/04/2018 16:12;ANÁLISE TÉCNICA;ALLIANCE MEDINFUSION LTDA;0,00
201800658;INCUBADORA NEONATAL;VISION 2186;FANEM;HCPE-1310;759.568;CI1980;ENGENHARIA CLÍNICA (STEC);06/04/2018 11:06;09/08/2018 17:40;ANÁLISE - REALIZAÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;8.946,00
201800659;VENTILADOR PULMONAR;INTER 3;INTERMED;HCPE-0626;409.252;9805-01536;UTI NEONATAL;06/04/2018 11:06;30/04/2018 15:27;ANÁLISE TÉCNICA;KESA LTDA.;0,00
201800661;BOMBA DE INFUSÃO VOLUMÉTRICA;ST 1000;SAMTRONIC;HCPE-0856;;64346M/00;6° SUL;06/04/2018 14:36;27/04/2018 16:21;ANÁLISE TÉCNICA;ALLIANCE MEDINFUSION LTDA;0,00
201800663;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0181;406.086;141509;10° SUL;06/04/2018 14:41;30/07/2018 14:30;ANÁLISE - REALIZAÇÃO, SUBSTITUIÇÃO;DPROSMED DISTRIBUIDORA PRODUTOS MED HOSP LTDA;15,84
201800670;EQUIPAMENTO DE HEMODIÁLISE;4008 S;FRESENIUS MEDICAL CARE;HCPE-0729;407.613;4SXAU370;HEMODIÁLISE;09/04/2018 11:39;18/04/2018 10:30;SUBSTITUIÇÃO;FRESENIUS MEDICAL CARE LTDA;0,00
201800679;ESFIGMOMANÔMETRO ANERÓIDE DE PEDESTAL;ANEROIDE DE PEDESTAL;MISSOURI;HCPE-0284;406.045;141703;PSIQUIATRIA(7°N);09/04/2018 16:30;26/07/2018 15:04;INSTALAÇÃO/MONTAGEM - REALIZAÇÃO;DPROSMED DISTRIBUIDORA PRODUTOS MED HOSP LTDA;18,90
201800680;BLENDER;AIR-O2;INTERMED;HCPE-0591;;I0-2003-10-10214;UTI NEONATAL;10/04/2018 08:00;30/04/2018 15:25;CALIBRAÇÃO REALIZADA;KESA LTDA.;0,00
201800681;DETECTOR CARDIOFETAL PORTÁTIL;FD-200B;VCOMIN TECHNOLOGY LIMITED-CHINA;HCPE-1753;759.749;MFD2B017038117;CENTRAL DE EQUIPAMENTOS;10/04/2018 08:00;19/04/2018 13:47;REPARO;KESA LTDA.;0,00
201800682;BALANÇA DE PLATAFORMA;LD1050;LÍDER;HCPE-1428;759.696;52168;AMB. PNEUMOLOGIA 4°;02/04/2018 08:00;12/06/2018 09:00;REALIZADOS AJUSTES NECESSARIOS;CASA DAS BALANÇAS;0,00
201800697;BERÇO AQUECIDO;BA-51/SPA;FANEM;HCPE-1766;;TX7457;UTI NEONATAL;06/04/2018 15:00;25/05/2018 14:56;SUBSTITUIÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;4.495,00
201800698;FOTOTERAPIA A LED;3006-BTP;FANEM;HCPE-1767;;GAJ18937;9° NORTE (MATERNIDADE);06/04/2018 15:00;10/05/2018 14:00;SUBSTITUIÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;1.255,00
201800699;FOTOTERAPIA CONVENCIONAL (FLUORESCENTE);006;FANEM;HCPE-1768;758.101;;9° NORTE (MATERNIDADE);06/04/2018 15:00;10/05/2018 13:30;SUBSTITUIÇÃO;MEDICAL MERCANTIL DE APARELHAGEM MÉDICA LTDA;655,00
201800706;RESSONÂNCIA MAGNÉTICA;SIGNA HDI;GE;HCPE-0914;;MRR8279;RESSONÂNCIA (UDI);10/04/2018 15:43;30/05/2018 13:00;SUBSTITUIÇÃO;GE HEALTHCARE DO BRASIL COM. E SER. P/ EMH;0,00
