Identificador;Tipo Equipamento;Modelo;Marca;Localização;Criticidade;Data de Aquisição;Status;Valor (R$);Custo total externo;Peso
HCPE-0001,407.984;MICROSCOPIO CIRURGICO;OPMI VARIO-700;CARL ZEISS;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2014-01-01;Em uso;400000.0;2400.0;0.7001531912612045
HCPE-2219,407.508;DESFIBRILADOR-CARDIOVERSOR;CARDIOMAX;INSTRAMED;SETOR DE ENGENHARIA CLÍNICA;3.0;2012-01-01;Em uso;35000.0;1737.0;0.7001108721752967
HCPE-0547,409.215;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;4500.0;1550.0;0.7000989360228613
HCPE-1741,757.602;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;MATERNIDADE;3.0;2013-01-01;Em uso;4500.0;1550.0;0.7000989360228613
HCPE-0548,409.217;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;9º NORTE;3.0;2013-01-01;Em uso;4500.0;1500.0;0.7000957445382527
HCPE-1748,409.235;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;MATERNIDADE;3.0;2013-01-01;Em uso;4500.0;1390.0;0.7000887232721142
HCPE-0549,409.213;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;4500.0;1350.0;0.7000861700844276
HCPE-1767;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;4500.0;1255.0;0.7000801062636715
HCPE-1572,407.986;UNI ANESTESIA;FABIUS GS PREMIUM;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;1100.0;0.7000702126613854
HCPE-1257,763.354;REANIMADOR PULMONAR PNEUMATICO;BABYPUFF-1020;FANEM;CENTRO OBSTÉTRICO;3.0;2015-01-01;Em uso;10000.0;750.0;0.7000478722691263
HCPE-0621,407.109;BERCO AQUECIDO;BA-51-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;585.0;0.7000373403699187
HCPE-1198,411.202;DESFIBRILADOR-CARDIOVERSOR;LIFE-400-PLUS;CMOS DRAKE;AMBULATÓRIO DE NEFROLOGIA;3.0;2013-01-01;Em uso;35000.0;580.0;0.7000370212214577
HCPE-1477,407.892;UNI ANESTESIA;DX-5020;DIXTAL;TOMOGRAFIA;3.0;2012-02-01;Em uso;105000.0;0.0;0.7
HCPE-0956,758.115;VENTILADOR TRANSPORTE;OXYLOG-3000;DRAGER;UTI ADULTO- 5º ANDAR;3.0;2012-01-01;Em uso;40000.0;0.0;0.7
HCPE-0536,407.124;BERCO AQUECIDO;2051;FANEM;UTI NEONATAL;3.0;2011-01-01;Em uso;12000.0;0.0;0.7
HCPE-0541,409.279;BERCO AQUECIDO;BA-51-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;0.0;0.7
HCPE-0643,407.122;BERCO AQUECIDO;AQ-50;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;0.0;0.7
HCPE-0659,409.233;BERCO AQUECIDO;AQ-50;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;0.0;0.7
HCPE-1911,409.218;INCUBADORA RN TRANSPORTE;IT-158-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-0646;BERCO AQUECIDO;AQ-50;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;0.0;0.7
HCPE-0625,407.121;BERCO AQUECIDO;AQ-50;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;12000.0;0.0;0.7
HCPE-1740,409.236;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;MATERNIDADE;3.0;2013-01-01;Em uso;4500.0;0.0;0.7
HCPE-1595,756.038;FOTOTERAPIA HIPERBILIRRUBINEMIA;006-OFL;FANEM;MATERNIDADE;3.0;2003-01-01;Em uso;2500.0;0.0;0.7
HCPE-0800,409.216;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;MATERNIDADE;3.0;2013-01-01;Em uso;4500.0;0.0;0.7
HCPE-0526,409.237;INCUBADORA RN TRANSPORTE;IT-158-TS;FANEM;CENTRO OBSTÉTRICO;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-2101,407.114;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-1261,	407.213;INCUBADORA RN TRANSPORTE;IT-158-TS;FANEM;CENTRO OBSTÉTRICO;3.0;2013-02-01;Em uso;20000.0;0.0;0.7
HCPE-0642,CC5088;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2002-01-01;Em uso;20000.0;0.0;0.7
HCPE-1365,760.747;DESFIBRILADOR-CARDIOVERSOR;CARDIOMAX;INSTRAMED;BRONCOSCOPIA;3.0;2012-01-01;Em uso;35000.0;0.0;0.7
HCPE-1496,414.796;DESFIBRILADOR-CARDIOVERSOR;LIFEPAK-20;MEDTRONIC;ENDOSCOPIA;3.0;2007-01-01;Em uso;35000.0;0.0;0.7
HCPE-0766,756.967;DESFIBRILADOR-CARDIOVERSOR;HEARTSTART XL;PHILIPS;9º SUL;3.0;2008-01-01;Em uso;35000.0;0.0;0.7
HCPE-0649,409.214;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;4500.0;0.0;0.7
HCPE-0630,409.299;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2002-01-01;Em uso;20000.0;0.0;0.7
HCPE-0619,409.288;INCUBADORA RN MOVEL;VISION-2286;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;20000.0;0.0;0.7
HCPE-0535,;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;1999-01-01;Em uso;20000.0;0.0;0.7
HCPE-0585,409.290;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-0634,407.130;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-0638,409.273;INCUBADORA RN MOVEL;VISION-2286;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;20000.0;0.0;0.7
HCPE-1449,414.625;DESFIBRILADOR-CARDIOVERSOR;LIFEPAK-20;MEDTRONIC;SETOR DE ENGENHARIA CLÍNICA;3.0;2007-01-01;Em uso;35000.0;0.0;0.7
HCPE-2220,;DESFIBRILADOR-CARDIOVERSOR;CARDIOMAX;INSTRAMED;10 NORTE;3.0;2012-01-01;Em uso;35000.0;0.0;0.7
HCPE-0654,409.295;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-1308,;INCUBADORA RN MOVEL;VISION-2286;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;20000.0;0.0;0.7
HCPE-0650,409.259;INCUBADORA RN MOVEL;VISION-2286;FANEM;UTI NEONATAL;3.0;2013-01-01;Em uso;20000.0;0.0;0.7
HCPE-0653,407.107;INCUBADORA RN MOVEL;C-186-TS;FANEM;UTI NEONATAL;3.0;2003-01-01;Em uso;20000.0;0.0;0.7
HCPE-0546,756.040;FOTOTERAPIA HIPERBILIRRUBINEMIA;BILITRON-3006-BTP;FANEM;UTI NEONATAL;3.0;2007-01-01;Em uso;4500.0;0.0;0.7
HCPE-0079,;DESFIBRILADOR-CARDIOVERSOR;LIFE-400-PLUS;CMOS DRAKE;ENGENHARIA CLÍNICA;3.0;2013-01-01;Em uso;35000.0;0.0;0.7
HCPE-2851,758.080;DESFIBRILADOR-CARDIOVERSOR;LIFEPAK-20;MEDTRONIC;SETOR DE ENGENHARIA CLÍNICA;3.0;2007-01-01;Em uso;35000.0;0.0;0.7
HCPE-0382,;DESFIBRILADOR-CARDIOVERSOR;LIFE-400-PLUS;CMOS DRAKE;AMBULATÓRIO DE ONCOLOGIA;3.0;2013-01-01;Em uso;35000.0;0.0;0.7
HCPE-0085,414.376;DESFIBRILADOR-CARDIOVERSOR;LIFE-400-PLUS;CMOS DRAKE;MATERNIDADE;3.0;2013-01-01;Em uso;35000.0;0.0;0.7
HCPE-0693,410.733;DESFIBRILADOR-CARDIOVERSOR;LIFEPAK-20;MEDTRONIC;CENTRO OBSTÉTRICO;3.0;2007-01-01;Em uso;35000.0;0.0;0.7
HCPE-0193,758.936;DESFIBRILADOR-CARDIOVERSOR;HEARTSTART XL;PHILIPS;UTI ADULTO- 5º ANDAR;3.0;2008-01-01;Em uso;35000.0;0.0;0.7
HCPE-1826,;DESFIBRILADOR-CARDIOVERSOR;LIFEPAK-20;MEDTRONIC;TRANSPORTE;3.0;2007-01-01;Em uso;35000.0;0.0;0.7
HCPE-0477,410.449;DESFIBRILADOR-CARDIOVERSOR;HEARTSTART XL;PHILIPS;UTI ADULTO- 5º ANDAR;3.0;2008-01-01;Em uso;35000.0;0.0;0.7
HCPE-1388,413.787;UNI ANESTESIA;FABIUS GS PREMIUM;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;0.0;0.7
HCPE-1942,760.297;UNI ANESTESIA;FABIUS TIRO;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2008-03-01;Em uso;105000.0;0.0;0.7
HCPE-2105;INJETOR MEIO CONTRASTE;SPECTRIS SOLARIS EP;BAYER;RESSONÂNCIA;2.0;2018-10-08;Em uso;1.0;4700007.0;0.6333333333333333
HCPE-2486,764.176;VENTILADOR UTI;IX-5;INTERMED;UTI NEONATAL;3.0;2019-11-12;Em uso;51200.0;1204235.0;0.576865949348586
HCPE-2256,761.389;VENTILADOR UTI;IX-5;INTERMED;UTI NEONATAL;3.0;2019-02-14;Em uso;40200.0;918812.74;0.558647534354736
HCPE-3105,775.958;UNI ANESTESIA;ATLAN A-300;DRAGER;UNIDADE DE BLOCOS CIRÚRGICOS;3.0;2021-08-23;Em uso;95187.25;914747.0;0.5583880194220987
HCPE-1505,1576/2011;RAIO-X;COMPACTO PLUS-500;PHILIPS;UNIDADE DE DIAGNÓSTICO POR IMAGEM;2.0;2011-01-01;Em uso;159443.0;309728.0;0.5531031762293119
nan;TRANSDUTOR US;8-L RS;GE HEALTHCARE;UTI-NEO;2.0;2012-01-01;Em uso;15000.0;301460.0;0.5525754323344625
HCPE-2572,771.153;UNI ANESTESIA;9100-C NXT;GE HEALTHCARE;BLOCO CIRÚRGICO;3.0;2020-01-27;Em uso;91900.0;802579.0;0.5512283705109375
HCPE-1587,407.926;ASPIRADOR/IRRIGADOR LAPAROSCOPIA;HAMOU ENDOMAT-263310 20;KARL STORZ;CENTRO CIRÚRGICO - 5º ANDAR;2.0;2015-04-13;Em uso;72889.2;187500.0;0.5453014006149353
HCPE-2203,410.328;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;170000.0;0.5441843810019857
HCPE-1562,410.890;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;146564.0;0.5426884683363238
HCPE-1585,407.927;FONTE LUZ FIBRA OPTICA ENDOSCOPIO RIGIDO MULTIUSO;XENON-300 201331 20;KARL STORZ;CENTRO CIRÚRGICO - 5º ANDAR;2.0;2015-04-09;Em uso;70000.0;130000.0;0.541631193315244
HCPE-1506,760.706,6021/2012;SIS RADIOGRAFICO FILME;COMPACTO PLUS;PHILIPS;RAIO-X;2.0;2012-01-01;Em uso;150000.0;36524.0;0.5356646490100971
HCPE-1720,413.708;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;22161.0;0.5347478631414804
HCPE-2099,407.947;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;14900.0;0.5342843957466445
HCPE-1408,407.895;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;11400.0;0.5340609918240546
HCPE-1555,760.730;ULTRASSOM;ACUSON X-150;SIEMENS;UTI ADULTO;2.0;2008-01-01;Em uso;120000.0;10390.02;0.5339965251115584
HCPE-0022,412.316;ULTRASSOM;HD-7;PHILIPS;UNIDADE DE DIAGNÓSTICO POR IMAGEM;2.0;2009-01-01;Em uso;150000.0;9010.0;0.5339084388597719
HCPE-3001,;SERRA CIRURGICA OSSEA PNEUMATICA RECIPROCANTE ESTERNO;MA-8000;MACOM;UNIDADE DE PROCESSAMENTO DE MATERIAIS ESTERILIZAÇÃO;2.0;2015-01-01;Em uso;0.0;9000.0;0.5339078005628501
HCPE-1386,407.870;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;8500.0;0.5338758857167659
HCPE-1262,407.229;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;7980.0;0.5338426942768383
HCPE-1577,410.316;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;7800.0;0.533831204932248
HCPE-1462,414.824;DENSITOMETRO OSSEO RAIO-X FEIXE DUPLO;DISCOVERY WI;HOLOGIC;DENSITOMETRIA;2.0;2012-01-01;Em uso;280000.0;7019.7;0.5337813986234489
HCPE-0462;SIS RADIOGRAFICO FILME;CR-7;INTECAL;DIAGNÓSTICO POR IMAGEM;2.0;2005-01-01;Em uso;50000.0;6792.0;0.5337668646025421
HCPE-1569,410.881;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;6750.0;0.533764183755471
HCPE-0116,407.943;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;5714.9;0.5336981136411073
HCPE-2072,413.901;MESA CIRURGICA;ALPHASTAR-1132;MAQUET;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2001-02-01;Em uso;100000.0;4000.0;0.5335886521020075
HCPE-0496,410.715;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;SALA DE ESTABILIZAÇÃO;2.0;2011-03-01;Em uso;25000.0;3350.0;0.533547162802098
HCPE-1583,757.846;INSUFLADOR MECANICO LAPAROSCOPIA;26432020;KARL STORZ;BLOCO CIRÚRGICO;2.0;2015-01-01;Em uso;1.0;3128.99;0.5335330558018319
HCPE-1468,414.863;SIS DIGITALIZACAO IMAGEM RADIOGRAFIA;CR-85-X;AGFA;RAIO-X;2.0;2012-01-01;Em uso;280000.0;2980.0;0.5335235458159956
HCPE-1470,414.865;SIS DIGITALIZACAO IMAGEM RADIOGRAFIA;CR-85-X;AGFA;DIAGNÓSTICO POR IMAGEM;2.0;2012-01-01;Em uso;280000.0;2980.0;0.5335235458159956
HCPE-0688,408.000;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;UTI ADULTO- 5º ANDAR;2.0;2008-02-01;Em uso;25000.0;1645.0;0.5334383331769506
HCPE-1885,756.680;LAMPADA FENDA;C-120;APRAMED;OFTALMOLOGIA;2.0;2013-03-01;Em uso;30000.0;600.0;0.5333716311486345
HCPE-1474,414.954;INJETOR MEIO CONTRASTE;OPTIVANTAGE DH;MALLINCKRODT;TOMOGRAFIA;2.0;2015-08-01;Em uso;205000.0;250.0;0.5333492907563755
HCPE-1823;ULTRASSOM PORTATIL;VIVID I;GE HEALTHCARE;UTI NEO NATAL;2.0;2012-01-01;Em uso;120000.0;0.0;0.5333333333333333
HCPE-0128,414.922;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;BRONCOSCOPIA;2.0;2004-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-2130,764.727;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;MATERNIDADE;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-3736;MONITOR MULTIPARAMETRICO;C-120;PRO LIFE;CENTRO OBSTÉTRICO;2.0;1899-12-30;Em uso;97816.0;0.0;0.5333333333333333
HCPE-1336,758.059;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;CENTRAL DE EQUIPAMENTOS;2.0;2006-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1375,760.802;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;CENTRAL DE MATERIAIS;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1303,757.849;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;CENTRAL DE EQUIPAMENTOS;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1825,2853/2013;ELETROCARDIOGRAFO;CARDIOTOUCH-3000;BIONET;UTI ADULTO- 5º ANDAR;2.0;2013-01-01;Em uso;8400.0;0.0;0.5333333333333333
HCPE-0701,410.711;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;CENTRAL DE EQUIPAMENTOS;2.0;2006-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0358,757.890;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;CENTRAL DE EQUIPAMENTOS;2.0;2004-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1299,;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;CENTRAL DE EQUIPAMENTOS;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0660,;MONITOR MULTIPARAMETRICO;DX-2022;DIXTAL;NÃO LOCALIZADO;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1381,407.953;ARCO CIRURGICO MOVEL;OEC FLUOROSTAR-7900;GE HEALTHCARE;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2012-01-01;Em uso;365000.0;0.0;0.5333333333333333
HCPE-3587;ARCO CIRURGICO MOVEL;SIREMOBIL COMPACT L;SIEMENS;DIAGNÓSTICO POR IMAGEM;2.0;2011-01-01;Em uso;500000.0;0.0;0.5333333333333333
HCPE-1300,;MONITOR MULTIPARAMETRICO;DX-2022;DIXTAL;NÃO LOCALIZADO;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-2404,;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;CENTRO OBSTÉTRICO;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-2029,-;TREPANADOR;MA-15000-D;MACOM;CENTRO CIRÚRGICO - 5º ANDAR;2.0;2012-01-01;Em uso;1500.0;0.0;0.5333333333333333
HCPE-2152;INJETOR MEIO CONTRASTE;STELLANT D SCT-221-D;MEDRAD;PET SCAN;2.0;2004-04-22;Em uso;1.0;0.0;0.5333333333333333
HCPE-1458,414.553;INJETOR MEIO CONTRASTE;ANGIOMAT ILLUMENA;LIEBEL FLARSHEIM;HEMODINÂMICA;2.0;2014-01-01;Em uso;200000.0;0.0;0.5333333333333333
HCPE-1931,758.119;MONITOR MULTIPARAMETRICO;DX-2022;DIXTAL;CENTRO OBSTÉTRICO;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0254,758.067;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;CENTRO OBSTÉTRICO;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1302,414.968;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;CENTRO OBSTÉTRICO;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-0884;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;6° SUL;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
765.006;TRANSDUTOR US;7-S RS;GE HEALTHCARE;UTI-NEO;2.0;2012-01-01;Em uso;15000.0;0.0;0.5333333333333333
761.695;TRANSDUTOR US;3-S RS;GE HEALTHCARE;UTI-NEO;2.0;2012-01-01;Em uso;15000.0;0.0;0.5333333333333333
HCPE-1571,407.838;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;PET SCAN;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1457,414.556;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;PET SCAN;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1149,410.063;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;PET SCAN;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0149,758.627;MONITOR MULTIPARAMETRICO;OMNI-612;OMNIMED;ENDOSCOPIA;2.0;2013-01-01;Em uso;12000.0;0.0;0.5333333333333333
HCPE-3436;MONITOR MULTIPARAMETRICO;EPM-12-M;MINDRAY;UNIDADE DE BLOCOS CIRÚRGICOS E MATERIAL ESTERILIZADO;2.0;1899-12-30;Em uso;21920.0;0.0;0.5333333333333333
HCPE-1409,407.985;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2011-03-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1383,410.443;MONITOR MULTIPARAMETRICO;DASH-4000;GE HEALTHCARE;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2015-04-01;Em uso;25000.0;0.0;0.5333333333333333
HCPE-1035,414.642;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;HEMODINÂMICA;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1456,;MONITOR MULTIPARAMETRICO;DX-2021;DIXTAL;HEMODINÂMICA;2.0;2012-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0696,410.795;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;UTI ADULTO- 5º ANDAR;2.0;2006-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-0697,410.774;MONITOR MULTIPARAMETRICO;DX-2010;DIXTAL;UTI ADULTO- 5º ANDAR;2.0;2008-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-1736;SIS RADIOGRAFICO FILME;CR-7;INTECAL;DIAGNÓSTICO POR IMAGEM;2.0;2005-01-01;Em uso;50000.0;0.0;0.5333333333333333
HCPE-0883,756.569;OXIMETRO PULSO;DX-2405;DIXTAL;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2003-01-01;Em uso;3800.0;0.0;0.5333333333333333
HCPE-2236,407.908,5154/2015;MONITOR VIDEO;EJ MLA-26-EK-1-A;NDS;CENTRO CIRÚRGICO - 5º ANDAR;2.0;2015-01-01;Em uso;20000.0;0.0;0.5333333333333333
HCPE-2092,414.977;OXIMETRO PULSO;DX-2515;DIXTAL;UTI ADULTO- 5º ANDAR;2.0;2002-01-01;Em uso;3800.0;0.0;0.5333333333333333
HCPE-1415,410.341;MONITOR VIDEO;EJ MLA-26-EK-1-A;NDS;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2015-01-01;Em uso;0.0;0.0;0.5333333333333333
HCPE-1921,410.378;MONITOR VIDEO;EJ MLA-26-EK-1-A;NDS;UNIDADE DE BLOCOS CIRÚRGICOS;2.0;2015-01-01;Em uso;1.0;0.0;0.5333333333333333
HCPE-1402,756.051;OXIMETRO PULSO;DX-2515;DIXTAL;CENTRO OBSTÉTRICO;2.0;2002-01-01;Em uso;3800.0;0.0;0.5333333333333333
HCPE-2434,;OXIMETRO PULSO;DX-2515;DIXTAL;MATERNIDADE;2.0;2002-01-01;Em uso;3800.0;0.0;0.5333333333333333
HCPE-1494,1707/2003;OXIMETRO PULSO;DX-2405;DIXTAL;BLOCO CIRÚRGICO;2.0;2003-01-01;Em uso;3000.0;0.0;0.5333333333333333
HCPE-1140,412.140,9706-2009;ULTRASSOM;HD-7;PHILIPS;UNIDADE DE DIAGNÓSTICO POR IMAGEM;2.0;2009-01-01;Em uso;150000.0;0.0;0.5333333333333333
